Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
1448,PQ833702,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-021589-007-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1449,PQ833708,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-021589-006-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1450,PQ833715,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-021589-005-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1451,PQ833722,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-021589-002-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1452,PQ833736,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-017473-005-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1453,PQ833742,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-017473-003-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1454,PQ833748,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/TX/24-017473-002-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,TX,Cow
1455,PQ833755,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-028969-016-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1456,PQ833762,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-028969-013-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1457,PQ833769,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-028969-006-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1458,PQ833776,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-012-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1459,PQ833782,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-011-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1460,PQ833788,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-007-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1461,PQ833795,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-006-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1462,PQ833802,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-004-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1463,PQ833816,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1464,PQ833822,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/NM/24-023930-001-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,NM,Cow
1465,PQ833828,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/MI/24-025091-002-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,MI,Cow
1466,PQ833835,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/MI/24-024344-003-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,MI,Cow
1467,PQ833842,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/MI/24-024344-001-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,MI,Cow
1468,PQ833849,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/ID/24-030584-001-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,ID,Cow
1469,PQ833856,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/ID/24-028356-003-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,ID,Cow
1470,PQ833862,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/ID/24-028356-002-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,ID,Cow
1471,PQ833868,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/IA/24-023669-001-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,IA,Cow
1472,PQ833875,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/IA/24-020593-001-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,IA,Cow
1473,PQ833882,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/IA/24-019480-002-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,IA,Cow
1474,PQ833896,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/IA/24-018721-001-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,IA,Cow
1475,PQ833902,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-029616-002-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1476,PQ833908,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-029616-001-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1477,PQ833915,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028771-001-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1478,PQ833922,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028243-004-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1479,PQ833929,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028243-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1480,PQ833936,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028243-001-original-repeat2/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1481,PQ833942,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-027490-001-original-repeat2/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1482,PQ833948,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Guineafowl/WA/24-030328-002-original/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,WA,Guineafowl
1483,PQ833955,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Guineafowl/WA/24-030328-001-original/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,WA,Guineafowl
1485,PQ833964,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/pig/OR/24-031264-004-combined/2024,H5N1,5.0,2.3.4.4b,D1.2,Nonhuman Mammal,OR,Pig
1486,PQ833971,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/PA/24-031844-002-original/2024,H5N1,3.0,2.3.4.4b,B3.2,Avian,PA,Chicken
1487,PQ833977,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/FL/24-029152-003-original/2024,H5N1,8.0,2.3.4.4b,B3.6,Avian,FL,Chicken
1488,PQ833984,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/FL/24-029152-002-original/2024,H5N1,7.0,2.3.4.4b,B3.6,Avian,FL,Chicken
1489,PQ833991,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/FL/24-029152-001-original/2024,H5N1,6.0,2.3.4.4b,B3.6,Avian,FL,Chicken
1490,PQ833997,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/FL/24-027090-001-original/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,FL,Chicken
1491,PQ834004,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-003-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1492,PQ834011,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1493,PQ834017,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-001-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1494,PQ834024,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031667-003-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1495,PQ834031,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031667-002-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1496,PQ834037,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1497,PQ834044,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1498,PQ834051,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031166-002-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1499,PQ834064,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031166-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1500,PQ834071,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-030318-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1501,PQ834077,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-030318-002-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1502,PQ834084,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-030318-001-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1503,PQ834091,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-029379-003-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1504,PQ834097,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-029379-002-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1505,PQ834104,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-029379-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1506,PQ834111,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028538-003-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1507,PQ834117,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-028538-002-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1508,PQ834124,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-027478-001-original-repeat2/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1509,PQ834131,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-027459-002-original-repeat2/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1510,PQ834137,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-027459-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1511,PQ834144,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-026563-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1512,PQ834151,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-026563-001-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1513,PQ834157,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-026562-002-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1514,PQ834164,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-026562-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1515,PQ834171,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-007-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1516,PQ834177,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-006-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1517,PQ834184,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-005-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1518,PQ834191,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-003-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1519,PQ834197,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-002-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1520,PQ834204,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CA/24-025747-001-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,CA,Cow
1521,PQ834211,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/CA/24-030170-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Turkey
1522,PQ834217,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Emu/CA/24-031663-003-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Emu
1523,PQ835038,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Emu/CA/24-031663-003-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Emu
1524,PQ824943,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Emu/CA/24-031663-001-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Emu
1525,PQ825738,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/FL/24-029493-001-original/2024,H5N1,3.0,2.3.4.4b,B3.6,Avian,FL,Duck
1526,PQ811746,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/California/181/2024,H5N1,6.0,2.3.4.4b,B3.13,Human,California,Human
1544,PQ797266,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/California/195/2024,H5N1,6.0,2.3.4.4b,B3.13,Human,California,Human
1550,PQ797312,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/California/213/2024,H5N1,1.0,2.3.4.4b,B3.13,Human,California,Human
1552,PQ797321,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goose/OR/24-032167-002-original/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,OR,Goose
1553,PQ797327,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goose/OR/24-032167-001-original/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,OR,Goose
1554,PQ797333,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goose/HI/24-033876-003-original/2024,H5N1,7.0,2.3.4.4b,A3,Avian,HI,Goose
1555,PQ797340,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032809-002-original/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1556,PQ797347,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032809-001-original/2024,H5N1,2.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1557,PQ797353,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032191-004-original/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1558,PQ797360,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032191-003-original/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1559,PQ797367,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032191-002-original/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1560,PQ797373,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/WA/24-032191-001-original/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,WA,Chicken
1561,PQ797380,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/MT/24-032160-004-original/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,MT,Chicken
1562,PQ797387,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/MT/24-032160-002-original/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,MT,Chicken
1563,PQ797393,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/MT/24-032160-001-original/2024,H5N1,4.0,2.3.4.4b,D1.1,Avian,MT,Chicken
1564,PQ797400,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-032296-002-original/2024,H5N1,2.0,2.3.4.4b,D1.1,Avian,CA,Chicken
1565,PQ797407,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-019-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1566,PQ797413,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-018-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1567,PQ797420,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-017-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1568,PQ797427,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-016-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1569,PQ797433,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-014-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1570,PQ797440,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-013-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1571,PQ797447,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-012-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1572,PQ797453,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-011-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1573,PQ797460,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-009-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1574,PQ797467,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-008-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1575,PQ797473,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-006-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1576,PQ797480,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031862-004-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1577,PQ797487,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031667-007-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1578,PQ797493,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031667-006-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1579,PQ797500,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031667-005-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1580,PQ797507,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-032-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1581,PQ797513,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-030-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1582,PQ797520,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-029-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1583,PQ797527,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-028-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1584,PQ797533,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-026-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1585,PQ797540,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-025-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1586,PQ797547,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-024-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1587,PQ797553,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-023-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1588,PQ797560,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-022-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1589,PQ797567,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-020-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1590,PQ797573,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-019-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1591,PQ797580,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-018-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1592,PQ797587,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-017-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1593,PQ797593,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-016-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1594,PQ797600,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-014-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1595,PQ797607,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-013-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1596,PQ797613,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-012-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1597,PQ797620,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-010-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1598,PQ797627,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-009-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1599,PQ797633,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-008-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1600,PQ797640,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-007-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1601,PQ797647,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-006-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,CA,Chicken
1602,PQ797653,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/CA/24-031666-004-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,CA,Chicken
